robotparser.RobotFileParser.read,SOURCE_NETWORK
asyncore.dispatcher.recv,SOURCE_NETWORK
mimetypes.MimeTypes.read,SOURCE_NETWORK
mimetypes.MimeTypes.readfp,SOURCE_NETWORK
mimetypes.MimeTypes.read_windows_registry,SOURCE_NETWORK
mimetypes.MimeTypes.read_mime_types,SOURCE_NETWORK
urllib.urlretrieve,SOURCE_NETWORK
socket.getaddrinfo,SOURCE_NETWORK
socket.gethostbyname,SOURCE_NETWORK
socket.gethostname,SOURCE_NETWORK
socket.recv,SOURCE_NETWORK
socket.recvfrom,SOURCE_NETWORK
socket.recvmsg,SOURCE_NETWORK
socket.recvmsg_into,SOURCE_NETWORK
socket.recvfrom_into,SOURCE_NETWORK
socket.recv_into,SOURCE_NETWORK
ssl.SSLSocket.read,SOURCE_NETWORK
asyncio.StreamReader.read,SOURCE_NETWORK
asyncio.StreamReader.readline,SOURCE_NETWORK
asyncio.StreamReader.readexactly,SOURCE_NETWORK
asyncio.StreamReader.readuntil,SOURCE_NETWORK
asyncio.StreamWriter.write,SOURCE_NETWORK
asyncio.StreamWriter.writelines,SOURCE_NETWORK
input,SOURCE_USER_INPUT
raw_input,SOURCE_USER_INPUT
os.pread,SOURCE_FILE
os.preadv,SOURCE_FILE
os.read,SOURCE_FILE
fileinput.input,SOURCE_FILE
fileinput.FileInput,SOURCE_FILE
filecmp.cmp,SOURCE_FILE
filecmp.cmpfiles,SOURCE_FILE
filecmp.dircmp,SOURCE_FILE
linecache.getline,SOURCE_FILE
plistlib.readPlist,SOURCE_FILE
plistlib.readPlistFromResource,SOURCE_FILE
io.IOBase.readline,SOURCE_FILE
io.IOBase.readlines,SOURCE_FILE
mailbox.Mailbox,SOURCE_FILE
mailbox.Maildir,SOURCE_FILE
mailbox.mbox,SOURCE_FILE
mailbox.MH,SOURCE_FILE
mailbox.Babyl,SOURCE_FILE
mailbox.MMDF,SOURCE_FILE
cookielib.FileCookieJar,SOURCE_FILE
